"filename", "language", "TypeScript", "SCSS", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\app.component.css", "CSS", 0, 0, 0, 48, 0, 0, 5, 53
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\app.component.html", "HTML", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\app.component.spec.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\app.component.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\app.module.ts", "TypeScript", 146, 0, 0, 0, 0, 4, 11, 161
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\areYouSurePopup\areYouSurePopup.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\areYouSurePopup\areYouSurePopup.component.html", "HTML", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\areYouSurePopup\areYouSurePopup.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\areYouSurePopup\areYouSurePopup.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\notification\notification.component.css", "CSS", 0, 0, 0, 54, 0, 0, 10, 64
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\notification\notification.component.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\notification\notification.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\components\notification\notification.component.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 15, 79
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\models\extraSelectModel.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\models\notificationModel.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\common\models\selectModel.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\menu\menu.component.css", "CSS", 0, 0, 0, 69, 0, 0, 7, 76
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\menu\menu.component.html", "HTML", 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\menu\menu.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\menu\menu.component.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 9, 75
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\menu\models\languageItem.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\menu\models\menuItem.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\authorization\authorization.component.css", "CSS", 0, 0, 0, 29, 0, 0, 4, 33
